genres,id,original_title,tagline
"['Animation', 'Comedy', 'Family']",862,Toy Story,
"['Adventure', 'Fantasy', 'Family']",8844,Jumanji,Roll the dice and unleash the excitement!
"['Romance', 'Comedy']",15602,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.
"['Comedy', 'Drama', 'Romance']",31357,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.
['Comedy'],11862,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
"['Action', 'Crime', 'Drama', 'Thriller']",949,Heat,A Los Angeles Crime Saga
"['Comedy', 'Romance']",11860,Sabrina,You are cordially invited to the most surprising merger of the year.
"['Action', 'Adventure', 'Drama', 'Family']",45325,Tom and Huck,The Original Bad Boys.
"['Action', 'Adventure', 'Thriller']",9091,Sudden Death,Terror goes into overtime.
"['Adventure', 'Action', 'Thriller']",710,GoldenEye,No limits. No fears. No substitutes.
"['Comedy', 'Drama', 'Romance']",9087,The American President,Why can't the most powerful man in the world have the one thing he wants most?
"['Comedy', 'Horror']",12110,Dracula: Dead and Loving It,
"['Family', 'Animation', 'Adventure']",21032,Balto,Part Dog. Part Wolf. All Hero.
"['History', 'Drama']",10858,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
"['Action', 'Adventure']",1408,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
"['Drama', 'Crime']",524,Casino,No one stays at the top forever.
"['Drama', 'Romance']",4584,Sense and Sensibility,Lose your heart and come to your senses.
"['Crime', 'Comedy']",5,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
"['Crime', 'Comedy', 'Adventure']",9273,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.
"['Action', 'Comedy', 'Crime']",11517,Money Train,"Get on, or GET OUT THE WAY!"
"['Comedy', 'Thriller', 'Crime']",8012,Get Shorty,"The mob is tough, but it’s nothing like show business."
"['Drama', 'Thriller']",1710,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
"['Action', 'Adventure', 'Crime', 'Thriller']",9691,Assassins,"In the shadows of life, In the business of death, One man found a reason to live..."
"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12665,Powder,An extraordinary encounter with another human being.
"['Drama', 'Romance']",451,Leaving Las Vegas,I Love You... The Way You Are.
['Drama'],16420,Othello,"Envy, greed, jealousy and love."
"['Comedy', 'Drama', 'Family']",9263,Now and Then,In every woman there is the girl she left behind.
"['Drama', 'Romance']",17015,Persuasion,
"['Fantasy', 'Science Fiction', 'Adventure']",902,La Cité des Enfants Perdus,Where happily ever after is just a dream.
"['Drama', 'Crime']",37557,摇啊摇，摇到外婆桥,In 1930's Shanghai violence was not the problem. It was the solution.
"['Drama', 'Crime']",9909,Dangerous Minds,She broke the rules... and changed their lives.
"['Science Fiction', 'Thriller', 'Mystery']",63,Twelve Monkeys,The future is history.
"['Romance', 'Adventure']",78802,"Guillaumet, les ailes du courage",
"['Fantasy', 'Drama', 'Comedy', 'Family']",9598,Babe,A little pig goes a long way.
"['History', 'Drama', 'Romance']",47018,Carrington,A Love so Unusual it has to be True
['Drama'],687,Dead Man Walking,
"['Adventure', 'History', 'Drama', 'Family']",139405,Across the Sea of Time,
"['Comedy', 'Family', 'Romance']",33689,It Takes Two,Two identical strangers. Two different worlds. One perfect match.
"['Comedy', 'Drama', 'Romance']",9603,Clueless,Sex. Clothes. Popularity. Is there a problem here?
['Drama'],34615,"Cry, the Beloved Country",
"['Drama', 'War']",31174,Richard III,"I can smile, and murder while I smile"
"['Action', 'Crime', 'Drama', 'History']",11443,Dead Presidents,"In this daring heist, the only color that counts is green"
"['Drama', 'Romance']",35196,Restoration,
"['Action', 'Fantasy']",9312,Mortal Kombat,Nothing In This World Has Prepared You For This.
"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577,To Die For,All she wanted was a little attention.
"['Drama', 'Romance']",11861,How To Make An American Quilt,There's beauty in the patterns of life.
"['Crime', 'Mystery', 'Thriller']",807,Se7en,Seven deadly sins. Seven ways to die.
"['Adventure', 'Animation', 'Drama', 'Family']",10530,Pocahontas,An American legend comes to life.
"['Drama', 'Romance']",8391,When Night Is Falling,
"['Drama', 'Crime', 'Thriller']",629,The Usual Suspects,Five Criminals. One Line Up. No Coincidence.
"['Action', 'Thriller', 'Drama']",117164,Guardian Angel,She's no angel of mercy.
"['Comedy', 'Romance']",11448,Mighty Aphrodite,
"['Drama', 'Foreign']",49133,Lamerica,
"['Action', 'Adventure', 'Comedy', 'Family']",26441,The Big Green,The biggest kick of the year!
['Drama'],97406,Georgia,The toughest act to follow was their dreams.
[],124057,Kids of the Round Table,
"['Comedy', 'Drama', 'Romance']",9089,Home for the Holidays,We'll do it every year..until we get it right
"['Comedy', 'Drama', 'Romance']",11010,Il postino,
"['Thriller', 'Drama', 'Mystery']",99040,Le confessionnal,
"['Adventure', 'Family', 'Fantasy']",11359,The Indian in the Cupboard,
"['Drama', 'Thriller']",17182,Eye for an Eye,What do you do when justice fails?
"['Music', 'Drama', 'Family']",2054,Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
['Comedy'],10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
"['Comedy', 'Romance']",19760,Two If by Sea,"A new comedy about love, laughter, and larceny"
['Comedy'],9536,Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
"['Action', 'Science Fiction']",11525,Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge."
"['Drama', 'Family']",40628,Two Bits,You're never too old to believe in a dream. Or too young to make one come true!
"['Comedy', 'Romance']",4482,Gazon maudit,
['Comedy'],10634,Friday,A lot can go down between thursday and saturday...
"['Horror', 'Action', 'Thriller', 'Crime']",755,From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.
"['Action', 'Thriller', 'Romance']",11859,Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
"['Comedy', 'Drama', 'Romance']",28387,Kicking and Screaming,Anxiety loves company.
"['Drama', 'History']",48750,Les misérables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
"['Drama', 'Romance']",20927,Bed of Roses,He gave her flowers. She gave him a chance.
"['Comedy', 'Family']",36929,Big Bully,A comedy for the kid in all of us.
"['Horror', 'Science Fiction']",9102,Screamers,The last scream you hear will be your own.
['Documentary'],124626,Nico Icon,
"['Drama', 'Thriller']",27526,The Crossing Guard,"...some lives cross, others collide."
"['Drama', 'Thriller']",9623,The Juror,There is no defense.
"['Family', 'Drama']",46785,بادکنک سفید,
"['Drama', 'Crime']",400,Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.
"['Drama', 'Comedy']",880,Antonia,A motion picture that celebrates everything you love about life.
"['Romance', 'Drama']",146599,Once Upon a Time... When We Were Colored,
[],188588,Last Summer in the Hamptons,
"['Drama', 'Romance']",8447,Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.
"['Action', 'Drama']",10534,White Squall,
"['Adventure', 'Comedy', 'Family']",17414,Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.
['Comedy'],13997,Black Sheep,There's one in every family.
"['Crime', 'Drama', 'Thriller']",2086,Nick of Time,
['Drama'],61548,The Journey of August King,
"['Drama', 'Horror', 'Thriller', 'Romance']",9095,Mary Reilly,The untold story of Jekyll and Hyde
"['Comedy', 'Horror', 'Romance']",12158,Vampire in Brooklyn,A comic tale of horror and seduction.
"['Comedy', 'Drama', 'Romance']",9283,Beautiful Girls,"Good times never seemed so good,"
"['Action', 'Adventure', 'Drama', 'Thriller']",9208,Broken Arrow,Prepare to Go Ballistic.
['Comedy'],40154,A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.
['Drama'],406,La Haine,Three Young Friends... One Last Chance.
"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",45549,Shopping,No one leaves without paying...
['Documentary'],63076,Heidi Fleiss: Hollywood Madam,   
"['Drama', 'Thriller']",11062,City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
"['Comedy', 'Crime', 'Drama']",13685,Bottle Rocket,"They're not really criminals, but everyone's got to have a dream."
"['Comedy', 'Romance']",47475,Mr. Wrong,
"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",2045,Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
['Comedy'],9614,Happy Gilmore,He doesn't play golf... he destroys it.
"['Drama', 'Romance']",688,The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
"['Drama', 'Comedy', 'Family']",11907,Keiner liebt mich,
"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",10874,Muppet Treasure Island,Set sail for Muppet mayhem!
['Documentary'],89333,Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty."
['Crime'],96357,Headless Body in Topless Bar,
"['Action', 'Drama', 'History', 'War']",197,Braveheart,Every man dies. Not every man truly lives.
"['Crime', 'Drama']",103,Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody."
"['Crime', 'Action', 'Comedy', 'Thriller']",33542,紅番區,No Fear. No Stuntman. No Equal.
"['Drama', 'Thriller']",43566,Before and After,A murder. A suspect. A shadow of a doubt.
['Drama'],71754,Margaret's Museum,She found a way to preserve her memories forever.
['Comedy'],43612,Le Bonheur est dans le pré,
"['Documentary', 'Drama', 'Foreign']",51352,Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
"['Comedy', 'Crime', 'Drama']",16934,The Young Poisoner's Handbook,
"['Comedy', 'Romance']",10324,If Lucy Fell,A comedy for the romantically challenged.
"['Comedy', 'Drama']",78406,Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.
"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",55731,Race the Sun,A dream can make all the difference under the sun.
['Drama'],32119,The Boys of St. Vincent,
"['Comedy', 'Romance']",11066,Boomerang,A Player Who's About to be Played.
"['Drama', 'Comedy', 'Romance']",11104,重慶森林,What a difference a day makes
"['Drama', 'Romance']",37975,L'uomo delle stelle,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
"['Comedy', 'Romance']",2074,Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen."
['Fantasy'],27793,The NeverEnding Story III,It's a brand new beginning in the adventure that never ends
['Drama'],44284,صمت القصور,
[],290157,Jupiter's Wife,A Haunting Real Life Mystery
"['Comedy', 'Romance']",110972,Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.
"['Comedy', 'Drama']",32622,Angela,
"['Drama', 'Romance', 'War']",73067,Frankie Starlight,Sometimes the brightest star is the one that shines within.
"['Action', 'Thriller', 'Mystery', 'Romance']",11863,Jade,Some fantasies go too far.
"['Comedy', 'Drama', 'Romance']",55475,Nueba Yol,
"['Music', 'Documentary']",124636,Sonic Outlaws,
['Comedy'],9101,Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
['Documentary'],123360,From the Journals of Jean Seberg,
['Comedy'],5757,Man of the Year,He as a centerfold who revealed everything ... but the truth.
['Drama'],39428,The Neon Bible,
[],124639,Target,
"['Drama', 'Romance']",9302,Up Close & Personal,"Every Day we Have, is One More Than We Deserve."
['Comedy'],11000,The Birdcage,Come as you are.
['Drama'],249882,Gospa,
"['Comedy', 'Drama', 'Romance']",16388,The Brothers McMullen,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
"['Action', 'Comedy', 'Crime', 'Thriller']",9737,Bad Boys,Whatcha gonna do?
"['Action', 'Adventure', 'Drama', 'Family']",30765,The Amazing Panda Adventure,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
"['Drama', 'Crime']",10474,The Basketball Diaries,The true story of the death of innocence and the birth of an artist.
"['Romance', 'Drama', 'Comedy']",22279,An Awfully Big Adventure,
"['Crime', 'Comedy', 'Drama', 'Thriller']",30157,Amateur,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
['Drama'],568,Apollo 13,"Houston, we have a problem."
['Adventure'],11780,Rob Roy,Honor made him a man. Courage made him a hero. History made him a legend.
"['Drama', 'Horror']",34996,The Addiction,The dark is their sunlight. What makes them different is what keeps them alive.
"['Action', 'Crime', 'Fantasy']",414,Batman Forever,"Courage now, truth always..."
"['Drama', 'Romance']",649,Belle de jour,Luis Bunuel's Masterpiece of Erotica!
"['Drama', 'Thriller']",1873,Beyond Rangoon,Truth has a witness
['Comedy'],5894,Blue in the Face,Welcome to the planet Brooklyn.
"['Action', 'Comedy']",1775,Canadian Bacon,"I'll tell ya another thing, their beer sucks!"
"['Fantasy', 'Comedy', 'Family']",8839,Casper,Get an afterlife
"['Mystery', 'Crime', 'Drama']",20649,Clockers,"When there's murder on the streets, everyone is a suspect."
"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",10329,Congo,Where you are the endangered species.
"['Action', 'Thriller', 'Drama']",8963,Crimson Tide,Danger runs deep.
['Documentary'],26564,Crumb,Weird sex · Obsession · Comic books
"['Thriller', 'Action', 'Crime']",8068,Desperado,"When the smoke clears, it just means he's reloading."
"['Drama', 'Mystery', 'Thriller']",8512,Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
"['Action', 'Thriller']",1572,Die Hard: With a Vengeance,Think fast. Look alive. Die hard.
"['Action', 'Comedy', 'Crime', 'Drama']",13552,The Doom Generation,Sex. Violence. Whatever.
"['Drama', 'Crime']",259209,Feast of July,There is no escape from the past.
"['Action', 'Adventure', 'Drama', 'Romance']",6520,First Knight,Their greatest battle would be for her love.
['Adventure'],9073,Free Willy 2 - The Adventure Home,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.
"['Action', 'Crime', 'Thriller', 'Drama']",10428,Hackers,"There is no right or wrong, only fun and boring"
"['Comedy', 'Drama', 'Romance']",17447,Jeffrey,Love is an adventure when one of you is sure... and the other is positive.
"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",9886,Johnny Mnemonic,The hottest data on earth. In the coolest head in town.
['Science Fiction'],9482,Judge Dredd,"In the future, one man is the law."
"['Comedy', 'Drama']",19326,Jury Duty,For truth. For justice. For five bucks a day.
"['Drama', 'Crime']",9344,Kids,
"['Drama', 'Comedy']",9071,Living in Oblivion,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!
"['Mystery', 'Horror', 'Thriller']",8973,Lord of Illusions,Trust Nothing Except Your Fear.
"['Comedy', 'Drama']",15730,Love & Human Remains,
"['Drama', 'Family', 'Romance']",47608,Mad Love,A wild and sexy adventure!
"['Romance', 'Comedy']",2293,Mallrats,They're not there to shop. They're not there to work. They're just there.
"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",9070,Mighty Morphin Power Rangers: The Movie,The Power Is On!
"['Comedy', 'Drama', 'Romance']",68274,Moonlight and Valentino,"Virginity, sex, the big cry, and other salty topics."
"['Thriller', 'Foreign']",48787,Mute Witness,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.
"['Horror', 'Thriller']",34574,Nadja,Unseen. Unforgiving. Undead.
"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",1642,The Net,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
['Comedy'],11472,Nine Months,Ready or Not.
['Comedy'],36196,Party Girl,"Sassy, savvy and definitely clued-in!"
"['Fantasy', 'Horror', 'Thriller']",11980,The Prophecy,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
"['Fantasy', 'Comedy', 'Drama']",58372,Reckless,The most twisted Christmas ever.
['Drama'],32646,Safe,In the 21st century nobody will be... Safe.
"['Drama', 'History', 'Romance']",10533,The Scarlet Letter,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
['Documentary'],56088,The Show,What Happens On Stage Is Only Half The Story!
['Drama'],10802,Showgirls,Beyond your wildest dreams. Beyond your wildest fantasies.
"['Comedy', 'Drama']",10149,Smoke,Where there's smoke... there's laughter!
['Comedy'],18402,Something to Talk About,"A story about husbands, wives, parents, children and other natural disasters."
"['Science Fiction', 'Horror', 'Action']",9348,Species,Our time is up.
['Drama'],139408,The Stars Fell on Henrietta,
"['Crime', 'Drama', 'Science Fiction', 'Thriller']",281,Strange Days,You know you want it.
"['Drama', 'Romance']",5967,Les parapluies de Cherbourg,a film for all the young lovers of the world
['Thriller'],79593,The Tie That Binds,
"['Drama', 'Fantasy']",47939,Three Wishes,"If you really believe, magic will find you"
"['Drama', 'Romance']",36834,Total Eclipse,Touched by Genius. Cursed by Madness. Blinded by Love.
['Comedy'],9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Attitude is everything
"['Action', 'Thriller']",3512,Under Siege 2: Dark Territory,Last time he rocked the boat. This time the sky's the limit.
"['Comedy', 'Drama', 'Family']",52856,Unstrung Heroes,Sometimes you find your heroes in the most unlikely places
['Documentary'],77350,Unzipped,
"['Drama', 'Romance']",9560,A Walk in the Clouds,A man in search. A woman in need. A story of fate.
"['Adventure', 'Action']",9804,Waterworld,Beyond the horizon lies the secret to a new beginning.
['Drama'],31611,White Man's Burden,Reality Just Switched Sides
"['Action', 'Western']",65796,Wild Bill,The Name Is Legendary. The Man Is Real.
['Drama'],49805,The Browning Version,The greatest lessons in the life and the ones learned by heart.
"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",26258,Bushwhacked,"They wanted a great adventure. What they got was ""Mad Max"" Grabelski."
['Drama'],50797,Утомлённые солнцем,A moving and poignant story set against the corrupt politics of the Stalinist era.
"['Drama', 'War']",19155,Before the Rain,Once You Know The Faces You Will Begin To Understand The Story
"['Drama', 'Romance']",76,Before Sunrise,Can the greatest romance of your life last only one night?
['Comedy'],11017,Billy Madison,Billy is going back to school... Way back.
"['Drama', 'Thriller']",37141,The Babysitter,Something about her captures the imagination.
"['Comedy', 'Drama']",9382,Boys on the Side,"A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship."
"['Drama', 'Family']",6715,The Cure,The best cure for a disease is friendship
"['Thriller', 'Drama', 'Horror', 'Mystery']",18256,Castle Freak,Hideous... hungry... and loose!
"['Drama', 'Family', 'Romance']",22625,Circle of Friends,
['Comedy'],2292,Clerks,Just because they serve you doesn't mean they like you.
"['Romance', 'Drama', 'Comedy']",1909,Don Juan DeMarco,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",8984,Disclosure,Sex Is Power.
['Thriller'],61813,Dream Man,
"['Action', 'Adventure', 'Thriller']",4954,Drop Zone,Taking crime to new heights
"['Crime', 'Comedy', 'Fantasy']",62488,Destiny Turns on the Radio,Fate visits in ways you never expect
"['Drama', 'Thriller', 'Mystery']",10531,Death and the Maiden,Prepare yourself for the moment of truth.
"['Crime', 'Drama', 'Mystery']",11929,Dolores Claiborne,"Sometimes, an accident can be an unhappy woman's best friend."
['Comedy'],8467,Dumb and Dumber,"What the one doesn't have, the other is missing."
"['Comedy', 'Drama', 'Romance']",10451,飲食男女,
