id,popularity,vote_average,vote_count
862,21.946943,7.7,5415
8844,17.015539,6.9,2413
15602,11.7129,6.5,92
31357,3.859495,6.1,34
11862,8.387519,5.7,173
949,17.924927,7.7,1886
11860,6.677277,6.2,141
45325,2.561161,5.4,45
9091,5.23158,5.5,174
710,14.686036,6.6,1194
9087,6.318445,6.5,199
12110,5.430331,5.7,210
21032,12.140733,7.1,423
10858,5.092,7.1,72
1408,7.284477,5.7,137
524,10.137389,7.8,1343
4584,10.673167,7.2,364
5,9.026586,6.5,539
9273,8.205448,6.1,1128
11517,7.337906,5.4,224
8012,12.669608,6.4,305
1710,10.701801,6.5,199
9691,11.065939,6.0,394
12665,12.133094,6.3,143
451,10.332025,7.1,365
16420,1.845899,7.0,33
9263,8.681325,6.6,91
17015,2.228434,7.4,36
902,9.822423,7.6,308
37557,1.100915,6.5,17
9909,9.481338,6.4,249
63,12.297305,7.4,2470
78802,0.745542,6.8,4
9598,14.404764,6.0,756
47018,1.493361,6.4,16
687,6.891317,7.3,350
139405,0.114469,3.5,2
33689,7.777735,6.1,149
9603,9.882383,6.9,828
34615,0.894647,6.7,13
31174,4.561387,6.9,50
11443,9.87957,6.6,80
35196,10.979269,6.3,30
9312,10.870138,5.4,452
577,10.448481,6.7,177
11861,4.485958,6.5,38
807,18.45743,8.1,5915
10530,13.280069,6.7,1509
8391,3.302524,5.9,10
629,16.302466,8.1,3334
117164,0.595949,6.3,3
11448,15.899134,6.7,145
49133,1.361286,7.7,11
26441,5.982764,5.2,41
97406,4.093443,6.1,15
124057,0.307075,3.0,1
9089,8.416802,6.3,39
11010,10.168437,7.6,181
99040,0.120789,6.5,2
11359,10.673296,5.9,136
17182,4.733526,5.8,65
2054,7.137117,6.9,115
10607,11.700115,6.2,192
19760,2.174487,4.5,14
9536,6.387469,4.4,110
11525,2.49535,2.8,32
40628,4.046208,5.4,11
4482,2.518051,6.0,43
10634,14.56965,7.0,513
755,15.339153,6.9,1644
11859,5.912223,4.1,54
28387,3.367276,7.0,36
48750,1.479446,6.6,8
20927,10.412194,5.1,27
36929,2.936443,3.9,16
9102,12.758848,6.1,154
124626,0.133893,7.3,3
27526,5.756462,6.1,74
9623,6.010579,5.5,91
46785,1.196256,7.5,20
400,4.486179,6.7,87
880,2.030174,7.2,26
146599,0.252287,4.5,2
188588,0.531159,0.0,0
8447,2.15166,6.3,17
10534,9.568604,6.3,86
17414,4.814825,5.1,59
13997,8.963037,6.0,124
2086,6.848591,6.1,190
61548,0.411424,6.7,3
9095,12.866139,5.7,77
12158,9.071127,4.5,113
9283,4.670562,6.6,103
9208,14.957626,5.7,459
40154,0.513391,7.5,6
406,12.108196,7.9,695
45549,2.657647,5.6,13
63076,0.638211,6.8,4
11062,4.807223,6.0,67
13685,6.904831,6.8,285
47475,3.329264,3.3,16
2045,2.464425,5.3,22
9614,9.592265,6.5,767
688,5.951077,7.3,397
11907,1.015068,5.1,5
10874,6.902423,6.5,93
89333,0.976707,7.0,2
96357,0.001346,0.0,0
197,20.755149,7.7,3404
103,14.092713,8.1,2632
33542,12.314278,6.5,245
43566,2.938293,5.8,37
71754,0.372697,7.5,2
43612,1.254885,7.0,23
51352,0.243986,7.3,4
16934,6.178497,6.9,19
10324,2.891918,5.4,11
78406,1.522412,5.1,7
55731,1.317878,5.2,21
32119,0.86539,7.0,7
11066,6.506983,5.4,139
11104,6.778979,7.9,249
37975,1.702639,6.8,29
2074,5.579088,6.3,66
27793,6.252377,4.4,105
44284,0.406754,4.3,3
290157,0.001178,0.0,0
110972,0.699066,7.0,2
32622,2.197439,5.6,9
73067,0.637554,5.4,4
11863,11.418917,5.1,45
55475,0.291021,5.5,1
124636,0.001838,0.0,0
9101,5.184977,5.6,110
123360,0.276401,6.5,2
5757,0.540436,3.8,2
39428,0.370342,7.2,5
124639,0.001205,0.0,0
9302,3.402749,5.9,51
11000,6.49968,6.7,303
249882,0.918504,7.0,2
16388,2.039196,6.3,23
9737,9.262184,6.5,1729
30765,2.375865,5.0,31
10474,7.415144,7.2,472
22279,0.922958,6.0,11
30157,1.759012,6.5,21
568,18.761467,7.3,1637
11780,10.193549,6.5,151
34996,3.137285,6.4,46
414,13.321354,5.2,1529
649,10.142662,7.3,163
1873,2.04189,6.4,21
5894,11.528147,6.8,28
1775,5.391556,5.9,57
