,genres,id,original_title,tagline
0,"['Animation', 'Comedy', 'Family']",862,Toy Story,
1,"['Adventure', 'Fantasy', 'Family']",8844,Jumanji,Roll the dice and unleash the excitement!
2,"['Romance', 'Comedy']",15602,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.
3,"['Comedy', 'Drama', 'Romance']",31357,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.
4,['Comedy'],11862,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
5,"['Action', 'Crime', 'Drama', 'Thriller']",949,Heat,A Los Angeles Crime Saga
6,"['Comedy', 'Romance']",11860,Sabrina,You are cordially invited to the most surprising merger of the year.
7,"['Action', 'Adventure', 'Drama', 'Family']",45325,Tom and Huck,The Original Bad Boys.
8,"['Action', 'Adventure', 'Thriller']",9091,Sudden Death,Terror goes into overtime.
9,"['Adventure', 'Action', 'Thriller']",710,GoldenEye,No limits. No fears. No substitutes.
10,"['Comedy', 'Drama', 'Romance']",9087,The American President,Why can't the most powerful man in the world have the one thing he wants most?
11,"['Comedy', 'Horror']",12110,Dracula: Dead and Loving It,
12,"['Family', 'Animation', 'Adventure']",21032,Balto,Part Dog. Part Wolf. All Hero.
13,"['History', 'Drama']",10858,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
14,"['Action', 'Adventure']",1408,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
15,"['Drama', 'Crime']",524,Casino,No one stays at the top forever.
16,"['Drama', 'Romance']",4584,Sense and Sensibility,Lose your heart and come to your senses.
17,"['Crime', 'Comedy']",5,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
18,"['Crime', 'Comedy', 'Adventure']",9273,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.
19,"['Action', 'Comedy', 'Crime']",11517,Money Train,"Get on, or GET OUT THE WAY!"
20,"['Comedy', 'Thriller', 'Crime']",8012,Get Shorty,"The mob is tough, but it’s nothing like show business."
21,"['Drama', 'Thriller']",1710,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
22,"['Action', 'Adventure', 'Crime', 'Thriller']",9691,Assassins,"In the shadows of life, In the business of death, One man found a reason to live..."
23,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12665,Powder,An extraordinary encounter with another human being.
24,"['Drama', 'Romance']",451,Leaving Las Vegas,I Love You... The Way You Are.
25,['Drama'],16420,Othello,"Envy, greed, jealousy and love."
26,"['Comedy', 'Drama', 'Family']",9263,Now and Then,In every woman there is the girl she left behind.
27,"['Drama', 'Romance']",17015,Persuasion,
28,"['Fantasy', 'Science Fiction', 'Adventure']",902,La Cité des Enfants Perdus,Where happily ever after is just a dream.
29,"['Drama', 'Crime']",37557,摇啊摇，摇到外婆桥,In 1930's Shanghai violence was not the problem. It was the solution.
30,"['Drama', 'Crime']",9909,Dangerous Minds,She broke the rules... and changed their lives.
31,"['Science Fiction', 'Thriller', 'Mystery']",63,Twelve Monkeys,The future is history.
32,"['Romance', 'Adventure']",78802,"Guillaumet, les ailes du courage",
33,"['Fantasy', 'Drama', 'Comedy', 'Family']",9598,Babe,A little pig goes a long way.
34,"['History', 'Drama', 'Romance']",47018,Carrington,A Love so Unusual it has to be True
35,['Drama'],687,Dead Man Walking,
36,"['Adventure', 'History', 'Drama', 'Family']",139405,Across the Sea of Time,
37,"['Comedy', 'Family', 'Romance']",33689,It Takes Two,Two identical strangers. Two different worlds. One perfect match.
38,"['Comedy', 'Drama', 'Romance']",9603,Clueless,Sex. Clothes. Popularity. Is there a problem here?
39,['Drama'],34615,"Cry, the Beloved Country",
40,"['Drama', 'War']",31174,Richard III,"I can smile, and murder while I smile"
41,"['Action', 'Crime', 'Drama', 'History']",11443,Dead Presidents,"In this daring heist, the only color that counts is green"
42,"['Drama', 'Romance']",35196,Restoration,
43,"['Action', 'Fantasy']",9312,Mortal Kombat,Nothing In This World Has Prepared You For This.
44,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577,To Die For,All she wanted was a little attention.
